Metaprotein,Superkingdom,Kingdom ,Phylum,Class,Order,Family,Genus,Species,UniRef50,KEGG-Number,EC-Number,P01_C,P02_C,P03_C,P04_C,P05_C,P06_C,P06b_C,P06c_C,P07_C,P07b_C,P07c_C,P08_C,P09_C,P10_C,P11_C,P12_C,P13_C,P14_C,P15_C,P16_C,P17_C,P18_CD,P18b_CD,P18c_CD,P19_CD,P20_CD,P21_CD,P22_CD,P23_CD,P24_CD,P25_CD,P26_CD,P27_CD,P28_CD,P29_UC,P30_UC,P31_UC,P32_UC,P33_UC,P34_UC,P35_UC,P36_UC,P37_UC,P38_UC,P39_UC,P40_UC,P41_UC,P42_UC
EFP_STRP7 Elongation factor P OS=Streptococcus pneumoniae (strain 70585) GN=efp PE=3 SV=1,Bacteria,unassigned,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unassigned,UniRef50_B9DVJ6,K02356|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFP_SYNWW Elongation factor P OS=Syntrophomonas wolfei subsp. wolfei (strain DSM 2245B / Goettingen) GN=efp PE=3 SV=1,Bacteria,unassigned,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas,Syntrophomonas wolfei subsp. wolfei str. Goettingen,UniRef50_P49778,K02356|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFP_VIBCM Elongation factor P OS=Vibrio cholerae serotype O1 (strain M66-2) GN=efp PE=3 SV=1,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,unassigned,unassigned,unassigned,unassigned,UniRef50_P57133,K02356|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFR3_USTMA Protein EFR3 OS=Ustilago maydis (strain 521 / FGSC 9021) GN=EFR3 PE=3 SV=1,Eukaryota,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago maydis,UniRef50_Q4P3U5,|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFTS_ALKOO Elongation factor Ts OS=Alkaliphilus oremlandii (strain OhILAs) GN=tsf PE=3 SV=1,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P74070,K02357|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFTS_BACV8 Elongation factor Ts OS=Bacteroides vulgatus (strain ATCC 8482 / DSM 1447 / JCM 5826 / NBRC 14291 / NCTC 11154) GN=tsf PE=3 SV=1,Bacteria,unassigned,Bacteroidetes,Bacteroidia,Bacteroidales,unassigned,unassigned,unassigned,UniRef50_Q8A0Z3,K02357|,|,3,0,0,0,0,5,4,3,0,0,0,10,0,0,2,15,21,15,17,9,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,2,0,0,0,0,0,0,4,0,0,1
EFTS_BIFA0 Elongation factor Ts OS=Bifidobacterium animalis subsp. lactis (strain AD011) GN=tsf PE=3 SV=1,Bacteria,unassigned,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,unassigned,UniRef50_A1A1I0,K02357|,|,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
EFTS_CAMJR Elongation factor Ts OS=Campylobacter jejuni (strain RM1221) GN=tsf PE=3 SV=1,Bacteria,unassigned,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,UniRef50_Q9PNB4,K02357|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFTS_CLOPS Elongation factor Ts OS=Clostridium perfringens (strain SM101 / Type A) GN=tsf PE=3 SV=1,Bacteria,unassigned,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium perfringens,UniRef50_Q67PB6,K02357|,|,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFTS_EHRCJ Elongation factor Ts OS=Ehrlichia canis (strain Jake) GN=tsf PE=3 SV=1,Bacteria,unassigned,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,Ehrlichia canis,UniRef50_Q2GKU8,K02357|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFTS_ENT38 Elongation factor Ts OS=Enterobacter sp. (strain 638) GN=tsf PE=3 SV=1,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unassigned,unassigned,UniRef50_A8ALC0,K02357|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFTS_GRAFK Elongation factor Ts OS=Gramella forsetii (strain KT0803) GN=tsf PE=3 SV=1,Bacteria,unassigned,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gramella,Gramella forsetii,UniRef50_A5FJI4,K02357|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFTS_LACAC Elongation factor Ts OS=Lactobacillus acidophilus (strain ATCC 700396 / NCK56 / N2 / NCFM) GN=tsf PE=3 SV=1,Bacteria,unassigned,Firmicutes,Bacilli,Lactobacillales,unassigned,unassigned,unassigned,UniRef50_Q5M1X4,K02357|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFTS_LACS1 Elongation factor Ts OS=Lactobacillus salivarius (strain UCC118) GN=tsf PE=3 SV=1,Bacteria,unassigned,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus salivarius,UniRef50_P80700,K02357|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFTS_METFK Elongation factor Ts OS=Methylobacillus flagellatus (strain KT / ATCC 51484 / DSM 6875) GN=tsf PE=3 SV=1,Bacteria,unassigned,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylobacillus,Methylobacillus flagellatus,UniRef50_Q8XZJ0,K02357|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFTS_POLSJ Elongation factor Ts OS=Polaromonas sp. (strain JS666 / ATCC BAA-500) GN=tsf PE=3 SV=1,Bacteria,unassigned,Proteobacteria,Betaproteobacteria,Burkholderiales,unassigned,unassigned,unassigned,UniRef50_Q7WJ93,K02357|,|,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFTS_YERPY Elongation factor Ts OS=Yersinia pseudotuberculosis serotype O:3 (strain YPIII) GN=tsf PE=3 SV=1,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,unassigned,unassigned,unassigned,unassigned,UniRef50_Q6LN25,K02357|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EFTU_ACUOB Elongation factor Tu, chloroplastic OS=Acutodesmus obliquus GN=tufA PE=3 SV=1",Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Acutodesmus,Acutodesmus obliquus,UniRef50_Q1KVS9,|,|,0,0,0,0,0,0,0,0,2,25,1,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFTU_BACFR Elongation factor Tu OS=Bacteroides fragilis (strain YCH46) GN=tuf PE=3 SV=1,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_Q8A463,K02358|,|,82,0,5,13,20,0,7,14,70,38,39,60,52,21,0,18,21,8,42,18,28,1,9,0,0,44,24,0,34,14,18,3,63,23,0,0,0,38,20,0,0,0,0,1,44,1,0,54
EFTU_BUCMH Elongation factor Tu (Fragment) OS=Buchnera aphidicola subsp. Melaphis rhois GN=tuf PE=3 SV=1,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_A4SHU2,K02358|,|,158,182,0,115,0,118,140,83,203,0,130,0,147,140,79,118,180,115,96,141,106,19,15,23,68,76,94,25,47,25,51,48,140,120,2,0,0,80,36,12,0,0,0,16,75,39,28,103
EFTU_CLOB8 Elongation factor Tu OS=Clostridium beijerinckii (strain ATCC 51743 / NCIMB 8052) GN=tuf1 PE=3 SV=1,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_Q43467,K02358|,|,57,125,31,7,35,89,44,109,37,119,59,105,99,92,248,124,204,52,38,78,47,0,13,16,42,0,32,15,14,15,22,34,98,59,0,25,0,35,0,3,0,0,4,10,21,31,32,61
EFTU_CLOTE Elongation factor Tu OS=Clostridium tetani (strain Massachusetts / E88) GN=tufA PE=3 SV=1,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P33166,K02358|,|,477,374,183,282,184,329,353,375,526,535,379,245,0,356,416,439,620,250,368,560,0,105,66,84,0,255,325,223,186,149,225,193,0,409,0,151,63,276,122,49,32,0,62,51,307,132,177,309
EFTU_CUPPJ Elongation factor Tu OS=Cupriavidus pinatubonensis (strain JMP 134 / LMG 1197) GN=tuf1 PE=3 SV=1,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P49410,K02358|,|,37,9,26,0,28,8,1,1,55,57,0,71,0,0,33,14,1,2,0,6,10,0,2,0,38,30,0,0,10,0,0,0,28,0,0,0,0,8,0,3,0,0,0,0,28,0,0,25
EFTU_FRATT Elongation factor Tu OS=Francisella tularensis subsp. tularensis (strain SCHU S4 / Schu 4) GN=tuf PE=3 SV=1,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,unassigned,unassigned,unassigned,unassigned,UniRef50_B0TX03,K02358|,|,6,0,28,50,0,0,44,40,67,13,5,67,0,9,0,0,7,0,0,0,53,26,0,0,11,4,9,0,11,7,7,7,12,20,0,0,0,19,0,3,0,0,0,2,16,5,0,10
EFTU_LACPL Elongation factor Tu OS=Lactobacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) GN=tuf PE=3 SV=1,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_Q8EK81,K02358|,|,21,0,27,40,6,11,12,0,30,44,58,56,54,12,13,6,6,3,0,10,60,0,22,0,32,2,4,55,4,44,13,0,30,29,0,0,4,2,0,0,6,0,0,0,27,0,1,7
EFTU_LEPEC Elongation factor Tu (Fragment) OS=Leptolyngbya ectocarpi GN=tufA PE=3 SV=1,Bacteria,unassigned,Cyanobacteria,unassigned,Oscillatoriales,unassigned,Phormidium,Phormidium ectocarpi,UniRef50_P50063,|,|,0,0,0,0,0,0,0,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFTU_LEPIN Elongation factor Tu OS=Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601) GN=tuf PE=3 SV=1,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_Q5SHN6,K02358|,|,379,306,128,281,159,237,304,245,370,317,277,225,358,307,405,444,503,231,357,478,414,65,46,52,0,271,181,128,80,0,147,151,303,298,43,113,38,237,82,21,0,0,0,56,174,58,91,288
"EFTU_RAT Elongation factor Tu, mitochondrial OS=Rattus norvegicus GN=Tufm PE=1 SV=1",Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P49411,K02358|,|,1,0,0,0,0,1,38,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,0,0,4,0,0,0,0,0,0,0,0,0,0,18
EFTU_RICRS Elongation factor Tu OS=Rickettsia rickettsii (strain Sheila Smith) GN=tuf PE=3 SV=1,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_Q9P9Q9,K02358|,|,89,89,25,81,0,69,67,75,128,108,126,70,0,83,54,61,0,76,82,43,71,0,0,20,15,49,0,0,39,9,0,24,145,95,6,11,7,39,15,3,2,0,0,15,0,38,42,72
EFTU_SPIAU Elongation factor Tu (Fragment) OS=Spirochaeta aurantia GN=tuf PE=3 SV=1,Bacteria,unassigned,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,Spirochaeta aurantia,UniRef50_P42478,|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFTU_STRA3 Elongation factor Tu OS=Streptococcus agalactiae serotype III (strain NEM316) GN=tuf PE=3 SV=1,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P02992,K02358|,|,167,136,64,136,0,111,96,62,168,167,135,111,142,114,86,117,193,87,123,148,104,36,17,17,60,40,185,92,0,156,128,64,191,145,0,49,12,58,23,10,13,0,0,14,56,39,98,133
EFTU1_WOLPM Elongation factor Tu 1 OS=Wolbachia pipientis wMel GN=tuf1 PE=3 SV=1,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_Q43364,K02358|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,9
EFTU2_YERPS Elongation factor Tu 2 OS=Yersinia pseudotuberculosis serotype I (strain IP32953) GN=tuf2 PE=3 SV=1,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P17745,K02358|,|,140,92,35,91,42,74,85,64,106,146,112,194,73,89,58,90,128,69,91,101,64,49,16,39,199,55,110,0,33,0,45,33,154,134,0,43,15,48,0,4,0,0,5,0,93,7,56,0
EFTU3_STRRA Elongation factor Tu-3 OS=Streptomyces ramocissimus GN=tuf3 PE=3 SV=1,Bacteria,unassigned,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,unassigned,UniRef50_P40175,K02358|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFTUL_EHRRW Putative elongation factor Tu-like protein OS=Ehrlichia ruminantium (strain Welgevonden) GN=ERWE_CDS_01630 PE=5 SV=1,Bacteria,unassigned,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,Ehrlichia ruminantium,UniRef50_Q5FCW3,|,|,25,15,5,7,8,10,9,9,9,10,7,11,7,13,8,11,12,10,9,9,7,0,6,8,14,10,20,0,13,6,11,7,12,11,9,13,0,11,9,0,0,0,0,0,14,4,7,14
EHD3_RAT EH domain-containing protein 3 OS=Rattus norvegicus GN=Ehd3 PE=1 SV=2,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_Q9NZN3,K12476|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ELAB_ECO57 Protein ElaB OS=Escherichia coli O157:H7 GN=elaB PE=3 SV=1,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli,UniRef50_P0AEH7,K05594|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REG1B_HUMAN Lithostathine-1-beta OS=Homo sapiens GN=REG1B PE=1 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P48304,|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,21,10,0,13,0,0,0,30,0,9,0,3,0,0,10,25,2,0,6,0,3
EMI2_YEAST Putative glucokinase-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EMI2 PE=1 SV=1,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,UniRef50_P17709,K00844|,2.7.1.2|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EML_DAUCA Carrot ABA-induced in somatic embryos 3 OS=Daucus carota GN=CAISE3 PE=2 SV=1,Eukaryota,Viridiplantae,Streptophyta,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_I1N2Z5,|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENO_ALNGL Enolase OS=Alnus glutinosa GN=PGH1 PE=2 SV=1,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P13929,K01689|,4.2.1.11|,5,0,0,1,0,0,2,2,0,0,0,12,3,3,0,4,0,0,0,0,1,16,15,13,30,17,32,0,0,23,33,8,19,12,0,4,0,12,0,0,0,28,11,0,0,2,27,9
ENO_BACSU Enolase OS=Bacillus subtilis (strain 168) GN=eno PE=1 SV=4,Bacteria,unassigned,Firmicutes,Bacilli,unassigned,unassigned,unassigned,unassigned,UniRef50_P37869,K01689|,4.2.1.11|,17,0,0,0,0,0,0,0,3,4,3,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,16,0,0,0,7,0,8,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0
ENO_BIFAA Enolase OS=Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a) GN=eno PE=3 SV=1,Bacteria,unassigned,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,unassigned,UniRef50_A1A143,K01689|,4.2.1.11|,0,5,11,4,11,0,0,5,5,5,5,0,18,5,0,9,30,0,10,2,0,0,0,0,0,0,4,16,6,31,2,6,0,2,0,11,0,0,0,0,2,0,0,0,5,11,27,8
ENO_BIFLS Enolase OS=Bifidobacterium longum subsp. infantis (strain ATCC 15697 / DSM 20088 / JCM 1222 / NCTC 11817 / S12) GN=eno PE=3 SV=1,Bacteria,unassigned,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,unassigned,UniRef50_B7GTK2,K01689|,4.2.1.11|,0,0,21,22,9,10,10,8,0,0,0,0,10,2,5,7,16,0,6,20,0,0,0,0,0,0,8,34,15,31,15,25,0,6,3,23,0,0,0,0,4,0,0,1,9,6,18,14
ENO_BUCAI Enolase OS=Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) GN=eno PE=3 SV=1,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Buchnera,Buchnera aphidicola,UniRef50_P57492,K01689|,4.2.1.11|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENO_CAUSK Enolase OS=Caulobacter sp. (strain K31) GN=eno PE=3 SV=1,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_Q9PDT8,K01689|,4.2.1.11|,10,0,2,5,0,0,0,0,2,1,1,4,0,0,3,7,0,0,0,0,0,0,0,0,14,0,16,0,0,5,0,0,16,1,5,0,0,0,0,0,0,0,0,0,1,0,4,3
ENO_DORPE Enolase OS=Doryteuthis pealeii PE=2 SV=1,Eukaryota,Metazoa,Mollusca,Cephalopoda,Teuthida,Loliginidae,Doryteuthis,Doryteuthis pealeii,UniRef50_O02654,|,4.2.1.11|,4,0,0,0,0,2,2,2,0,0,0,2,2,1,0,3,1,0,0,0,1,0,2,2,4,0,8,0,0,4,6,6,0,6,0,0,0,0,0,0,0,7,0,1,2,0,10,0
ENO_EUBE2 Enolase OS=Eubacterium eligens (strain ATCC 27750 / VPI C15-48) GN=eno PE=3 SV=1,Bacteria,unassigned,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium eligens,UniRef50_Q9JZ53,K01689|,4.2.1.11|,10,12,13,7,1,12,8,7,0,0,0,0,0,3,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,11,0,0,0,0,0,0,0,0,7,0
ENO_KLULA Enolase OS=Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) GN=ENO PE=3 SV=1,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P17182,|,4.2.1.11|,4,0,0,3,0,2,2,4,0,0,0,11,2,1,0,5,1,0,0,0,1,15,18,15,57,26,41,8,2,31,49,12,65,29,0,31,4,0,0,0,12,66,0,3,20,11,45,19
ENO_LACDA Enolase OS=Lactobacillus delbrueckii subsp. bulgaricus (strain ATCC 11842 / DSM 20081 / JCM 1002 / NBRC 13953 / NCIMB 11778) GN=eno PE=3 SV=1,Bacteria,unassigned,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unassigned,UniRef50_Q88VW2,K01689|,4.2.1.11|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENO_LACH4 Enolase OS=Lactobacillus helveticus (strain DPC 4571) GN=eno PE=3 SV=1,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P42848,K01689|,4.2.1.11|,9,16,0,11,8,4,5,0,0,0,0,0,4,13,0,0,4,0,0,0,0,0,0,0,7,0,2,52,16,144,0,8,34,20,0,20,0,6,4,5,0,0,0,0,4,0,4,6
ENO_NITHX Enolase OS=Nitrobacter hamburgensis (strain DSM 10229 / NCIMB 13809 / X14) GN=eno PE=3 SV=1,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_A0R3B8,K01689|,4.2.1.11|,15,0,2,0,0,0,0,0,2,1,1,2,2,3,0,2,0,0,0,0,0,0,0,0,6,0,7,0,3,0,0,0,8,2,0,0,0,16,2,9,0,0,0,0,2,0,4,4
ENO_SHIB3 Enolase OS=Shigella boydii serotype 18 (strain CDC 3083-94 / BS512) GN=eno PE=3 SV=1,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P25696,K01689|,4.2.1.11|,39,0,3,6,0,0,0,0,6,8,5,49,0,0,8,9,0,0,3,0,4,5,0,2,79,0,34,0,2,5,26,0,9,0,13,0,0,5,0,5,0,0,0,0,13,0,6,4
ENO1_MAIZE Enolase 1 OS=Zea mays GN=ENO1 PE=2 SV=1,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Poales,Poaceae,Zea,Zea mays,UniRef50_P13929-2,K01689|,4.2.1.11|,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENO2_YEAST Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENO2 PE=1 SV=2,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,unassigned,unassigned,unassigned,UniRef50_P00924,K01689|,4.2.1.11|,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,40,2,0,0,0,12,0,48,14,0,29,0,11,0,0,0,0,0,0,13,9,0,10
CAD17_HUMAN Cadherin-17 OS=Homo sapiens GN=CDH17 PE=2 SV=3,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_Q9R100,K06811|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,12,0,4,7,0,12,0,5,0,0,0,0,19,2,9,0,3,0,0,4,0,3,2,3,6
ENOA_MESAU Alpha-enolase (Fragments) OS=Mesocricetus auratus GN=ENO1 PE=1 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,Mesocricetus auratus,UniRef50_P86210,|,4.2.1.11|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,21,0,8,0,0,12,0,0,16,12,0,0,0,0,0,0,0,27,0,0,0,0,4,0
ENOA_PONAB Alpha-enolase OS=Pongo abelii GN=ENO1 PE=2 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P06733-2,K01689|,4.2.1.11|,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,21,0,25,0,0,4,19,0,16,6,0,4,0,0,0,0,0,81,0,0,0,0,34,0
ENPL_MOUSE Endoplasmin OS=Mus musculus GN=Hsp90b1 PE=1 SV=2,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pongo,Pongo abelii,UniRef50_P14625,K09487|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
